zip;city;state;county;lat;lng;population
602;Aguada;PR;Aguada;18.36075;-67.17541;37233
603;Aguadilla;PR;Aguadilla;18.45744;-67.12225;48448
610;Anasco;PR;Anasco;18.2911;-67.12243;25357
612;Arecibo;PR;Arecibo;18.41283;-66.7051;62908
623;Cabo Rojo;PR;Cabo Rojo;18.08429;-67.15336;39212
627;Camuy;PR;Camuy;18.41905;-66.86037;32734
646;Dorado;PR;Dorado;18.43251;-66.28429;35998
659;Hatillo;PR;Hatillo;18.41036;-66.79691;37327
662;Isabela;PR;Isabela;18.46622;-67.01508;41090
669;Lares;PR;Lares;18.27019;-66.86727;27417
674;Manati;PR;Manati;18.42229;-66.4891;39093
676;Moca;PR;Moca;18.37897;-67.08098;36972
680;Mayaguez;PR;Mayaguez;18.16307;-67.36122;42689
682;Mayaguez;PR;Mayaguez;18.22415;-67.15309;28977
683;San German;PR;San German;18.10926;-67.03803;29490
685;San Sebastian;PR;San Sebastian;18.33656;-66.97518;39988
687;Morovis;PR;Morovis;18.31707;-66.42029;28397
692;Vega Alta;PR;Vega Alta;18.40905;-66.33768;32802
693;Vega Baja;PR;Vega Baja;18.42633;-66.39811;55387
698;Yauco;PR;Yauco;18.07274;-66.85519;32535
716;Ponce;PR;Ponce;17.99942;-66.59868;27945
719;Naranjito;PR;Naranjito;18.28879;-66.25316;29932
725;Caguas;PR;Caguas;18.22052;-66.03962;73462
727;Caguas;PR;Caguas;18.21142;-66.07374;55191
728;Ponce;PR;Ponce;18.00697;-66.65995;36532
729;Canovanas;PR;Canovanas;18.33524;-65.88677;47067
730;Ponce;PR;Ponce;18.03256;-66.61384;31081
736;Cayey;PR;Cayey;18.10736;-66.14994;45306
738;Fajardo;PR;Fajardo;18.31793;-65.66793;29980
739;Cidra;PR;Cidra;18.17543;-66.16198;34578
745;Rio Grande;PR;Rio Grande;18.3466;-65.81382;46739
754;San Lorenzo;PR;San Lorenzo;18.1447;-65.97565;36728
767;Yabucoa;PR;Yabucoa;18.07033;-65.89618;29962
769;Coamo;PR;Coamo;18.09459;-66.3607;33602
771;Las Piedras;PR;Las Piedras;18.18797;-65.86916;35094
777;Juncos;PR;Juncos;18.22365;-65.90904;37446
778;Gurabo;PR;Gurabo;18.26319;-65.97938;40203
783;Corozal;PR;Corozal;18.30348;-66.32851;34259
784;Guayama;PR;Guayama;18.00558;-66.13651;34981
791;Humacao;PR;Humacao;18.14391;-65.81398;45455
794;Barranquitas;PR;Barranquitas;18.19934;-66.31179;28668
795;Juana Diaz;PR;Juana Diaz;18.05128;-66.49485;43367
921;San Juan;PR;San Juan;18.39206;-66.0871;33119
924;San Juan;PR;San Juan;18.39987;-66.01344;49922
926;San Juan;PR;San Juan;18.34691;-66.05434;92284
949;Toa Baja;PR;Toa Baja;18.43166;-66.21349;65867
953;Toa Alta;PR;Toa Alta;18.36319;-66.24764;66156
956;Bayamon;PR;Bayamon;18.32121;-66.17185;66734
957;Bayamon;PR;Bayamon;18.36696;-66.18857;40194
959;Bayamon;PR;Bayamon;18.3852;-66.15583;46260
961;Bayamon;PR;Bayamon;18.40987;-66.16415;28888
969;Guaynabo;PR;Guaynabo;18.36696;-66.11;42231
976;Trujillo Alto;PR;Trujillo Alto;18.33903;-65.99286;60620
983;Carolina;PR;Carolina;18.41788;-65.98104;31472
985;Carolina;PR;Carolina;18.40628;-65.94767;30497
987;Carolina;PR;Carolina;18.34115;-65.94257;55747
1002;Amherst;MA;Hampshire;42.37633;-72.46462;26370
1020;Chicopee;MA;Hampden;42.17618;-72.56538;30167
1040;Holyoke;MA;Hampden;42.21251;-72.64109;37813
1085;Westfield;MA;Hampden;42.15375;-72.76961;41102
1089;West Springfield;MA;Hampden;42.12532;-72.65025;28772
1108;Springfield;MA;Hampden;42.0814;-72.55866;27405
1109;Springfield;MA;Hampden;42.11839;-72.54876;31124
1201;Pittsfield;MA;Berkshire;42.45614;-73.28114;44848
1420;Fitchburg;MA;Worcester;42.58559;-71.81693;41839
1453;Leominster;MA;Worcester;42.51961;-71.76583;43851
1545;Shrewsbury;MA;Worcester;42.28419;-71.71558;38876
1602;Worcester;MA;Worcester;42.27219;-71.84946;27092
1604;Worcester;MA;Worcester;42.25085;-71.7683;39812
1605;Worcester;MA;Worcester;42.28979;-71.78802;30579
1610;Worcester;MA;Worcester;42.24645;-71.80968;30444
1701;Framingham;MA;Middlesex;42.32195;-71.43796;32618
1702;Framingham;MA;Middlesex;42.28242;-71.43428;39789
1752;Marlborough;MA;Middlesex;42.3494;-71.54681;41647
1757;Milford;MA;Worcester;42.15723;-71.51978;30609
1760;Natick;MA;Middlesex;42.28436;-71.34966;36782
1801;Woburn;MA;Middlesex;42.48694;-71.15415;41939
1803;Burlington;MA;Middlesex;42.5028;-71.20147;26274
1810;Andover;MA;Essex;42.64669;-71.16517;35648
1821;Billerica;MA;Middlesex;42.54999;-71.25206;30143
1824;Chelmsford;MA;Middlesex;42.59156;-71.35553;26650
1826;Dracut;MA;Middlesex;42.68323;-71.30063;32629
1830;Haverhill;MA;Essex;42.7959;-71.05323;26530
1832;Haverhill;MA;Essex;42.79099;-71.13133;26386
1841;Lawrence;MA;Essex;42.71077;-71.16494;52769
1843;Lawrence;MA;Essex;42.68985;-71.16095;27445
1844;Methuen;MA;Essex;42.73426;-71.18858;53420
1845;North Andover;MA;Essex;42.67132;-71.08669;32494
1851;Lowell;MA;Middlesex;42.62915;-71.33674;33403
1852;Lowell;MA;Middlesex;42.63231;-71.29538;37144
1854;Lowell;MA;Middlesex;42.64939;-71.34827;30081
1867;Reading;MA;Middlesex;42.53505;-71.1055;25612
1876;Tewksbury;MA;Middlesex;42.61206;-71.22733;31004
